"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D"," +EI TIC Scan 001-CoTXSS1.D "
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"64" ,10.027,10.060,10.094,116356.45,205492.65,1.96,2.12,0.17,0.066,0.027,181458.00,188431.00,10.019,10.036,10.085,10.102,177949.25,177749.81,1.12,294206.00,,,  ,135.2,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"65" ,10.094,10.152,10.185,134358.70,447299.65,4.26,2.45,0.36,0.091,0.057,188431.00,229886.00,10.085,10.102,10.176,10.193,177749.81,177475.55,0.74,311934.00,,,  ,207.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"66" ,10.185,10.201,10.284,78035.32,235868.35,2.25,1.42,0.19,0.099,0.050,229886.00,182483.00,10.176,10.193,10.267,10.292,177475.55,177176.36,3.17,255461.00,,,  ,91.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"67" ,10.284,10.334,10.383,107120.81,328031.75,3.12,1.95,0.26,0.099,0.049,182483.00,181424.00,10.267,10.292,10.375,10.392,176766.79,176417.53,0.94,283713.00,,,  ,73.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"68" ,10.383,10.441,10.537,286127.18,890779.29,8.48,5.21,0.72,0.154,0.048,181424.00,175876.63,10.375,10.392,10.533,10.566,176417.53,175876.63,0.92,462341.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"69" ,10.566,10.640,10.681,117769.16,319264.51,3.04,2.14,0.26,0.116,0.038,178234.00,177667.71,10.533,10.566,10.706,10.806,177445.72,177667.71,0.57,295358.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"70" ,10.803,10.872,11.013,66145.85,351746.67,3.35,1.20,0.28,0.210,0.092,161821.12,168549.00,10.706,10.806,10.996,11.079,161821.12,168049.88,2.96,230025.00,,,  ,207.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"71" ,11.076,11.129,11.154,135982.95,329744.21,3.14,2.48,0.27,0.078,0.044,171090.73,255578.00,10.996,11.079,11.145,11.154,171090.73,172575.80,0.64,308083.00,,,  ,71.2,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"72" ,11.154,11.228,11.280,442851.31,1385285.74,13.19,8.07,1.12,0.126,0.040,255578.00,174987.19,11.145,11.154,11.278,11.336,172575.80,174987.19,0.40,616855.00,,,  ,129.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"73" ,11.394,11.477,11.531,1025542.24,2561645.74,24.39,18.68,2.07,0.137,0.036,179088.00,179808.44,11.278,11.336,11.535,11.626,177177.18,179808.44,0.59,1204306.00,,,  ,83.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"74" ,11.626,11.675,11.783,52814.16,261109.33,2.49,0.96,0.21,0.157,0.078,170080.00,170146.00,11.535,11.626,11.766,11.824,170080.00,170146.00,2.21,222915.00,,,  ,207.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"75" ,11.891,11.949,11.990,392968.80,1005196.34,9.57,7.16,0.81,0.099,0.039,186705.65,228124.00,11.866,11.891,11.990,11.998,186705.65,188600.65,1.24,580776.00,,,  ,207.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"76" ,11.990,12.040,12.135,1222501.53,4064549.94,38.70,22.26,3.28,0.145,0.040,228124.00,191385.28,11.990,11.998,12.164,12.247,188600.65,191385.28,2.26,1412054.00,,,  ,218.3,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"77" ,12.262,12.330,12.363,63798.33,198150.33,1.89,1.16,0.16,0.101,0.040,193813.38,204248.00,12.164,12.247,12.363,12.371,193813.38,195740.43,0.65,258904.00,,,  ,207.1,,,,,,,,,,,
