"D:\temp\HonghaoSu\October-2022\Co-batch2\00-Blank-3.D"," +EI TIC Scan 00-Blank-3.d "
"No integration results available"
"D:\temp\HonghaoSu\October-2022\Co-batch2\00-Blank-3.D"," +EI TIC Scan 00-Blank-3.d "
"D:\temp\HonghaoSu\October-2022\Co-batch2\00-Blank-3.D" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"38" ,6.983,7.029,7.054,1539097.96,1982658.02,16.92,29.14,1.65,0.071,0.019,282705.10,317906.00,6.955,6.980,7.054,7.062,282705.10,278833.89,0.67,1819286.00,,,  ,91.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"39" ,7.054,7.087,7.137,2174351.86,3550603.29,30.30,41.16,2.95,0.083,0.020,317906.00,321149.00,7.054,7.062,7.129,7.137,278833.89,274317.93,1.79,2451379.00,,,  ,91.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"40" ,7.137,7.170,7.225,1796901.82,3064400.62,26.15,34.02,2.54,0.089,0.027,321149.00,269491.75,7.129,7.137,7.261,7.294,274317.93,269491.75,0.83,2069413.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"41" ,7.302,7.319,7.408,438674.62,1045084.80,8.92,8.30,0.87,0.106,0.028,266818.68,262556.89,7.261,7.294,7.410,7.419,266818.68,262556.89,5.48,704802.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"42" ,7.414,7.452,7.510,661126.03,1318779.76,11.25,12.52,1.10,0.096,0.020,262332.76,311968.00,7.410,7.419,7.518,7.526,262332.76,258476.79,1.95,921931.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"43" ,7.527,7.551,7.584,262373.67,301452.11,2.57,4.97,0.25,0.057,0.018,257779.83,270672.00,7.518,7.526,7.568,7.584,257779.83,255483.23,0.83,519187.00,,,  ,91.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"44" ,7.584,7.617,7.672,990014.54,1519087.17,12.96,18.74,1.26,0.088,0.021,270672.00,251966.80,7.568,7.584,7.684,7.708,255483.23,251966.80,0.98,1244167.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"45" ,7.750,7.783,7.848,349072.05,846943.58,7.23,6.61,0.70,0.098,0.033,255608.00,244889.99,7.684,7.708,7.857,7.882,248830.05,244889.99,2.60,596572.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"46" ,7.892,7.924,7.937,92650.35,128033.39,1.09,1.75,0.11,0.045,0.031,253339.47,252147.96,7.857,7.882,7.940,7.949,253339.47,252147.96,0.38,345150.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"47" ,8.039,8.048,8.073,119145.86,148614.63,1.27,2.26,0.12,0.034,0.020,249438.54,259477.00,8.023,8.031,8.065,8.081,249438.54,248534.06,3.12,368341.00,,,  ,73.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"48" ,8.073,8.106,8.153,832816.38,1291451.03,11.02,15.77,1.07,0.080,0.023,259477.00,246394.92,8.065,8.081,8.147,8.164,248534.06,246394.92,1.60,1080469.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"49" ,8.157,8.172,8.194,153088.82,170255.55,1.45,2.90,0.14,0.037,0.019,246291.19,245305.85,8.147,8.164,8.197,8.205,246291.19,245305.85,1.56,398979.00,,,  ,109.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"50" ,8.257,8.288,8.362,1264560.42,2183255.71,18.63,23.94,1.81,0.105,0.025,243642.34,240842.84,8.230,8.255,8.388,8.404,243642.34,240842.84,1.34,1507366.00,,,  ,69.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"51" ,8.408,8.445,8.472,497839.72,797218.21,6.80,9.43,0.66,0.064,0.024,238801.76,237499.00,8.388,8.404,8.470,8.487,238801.76,237499.00,0.64,735883.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"52" ,8.580,8.644,8.699,791472.68,1529379.58,13.05,14.98,1.27,0.119,0.025,235299.17,232862.07,8.561,8.570,8.719,8.752,235299.17,232862.07,0.48,1025452.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"53" ,8.810,8.835,8.888,200074.23,449579.08,3.84,3.79,0.37,0.078,0.034,236154.29,236416.23,8.719,8.752,8.884,8.926,236154.29,236416.23,2.18,436310.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"54" ,8.928,8.959,9.038,1244440.77,2020998.10,17.24,23.56,1.68,0.109,0.024,240026.55,241712.57,8.884,8.926,9.042,9.058,240026.55,241712.57,0.93,1484938.00,,,  ,69.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"55" ,9.062,9.083,9.117,793511.46,1187312.02,10.13,15.02,0.99,0.055,0.024,265718.46,246910.04,9.042,9.058,9.125,9.133,265718.46,246910.04,1.56,1051910.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"56" ,9.138,9.183,9.216,180466.53,454926.63,3.88,3.42,0.38,0.077,0.047,239540.73,245031.00,9.125,9.133,9.207,9.216,239540.73,213183.57,0.76,404951.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"57" ,9.216,9.249,9.298,484797.01,894040.99,7.63,9.18,0.74,0.083,0.028,245031.00,184999.93,9.207,9.216,9.299,9.356,213183.57,184999.93,0.76,686674.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"58" ,9.366,9.448,9.555,270151.13,1236289.42,10.55,5.11,1.03,0.190,0.074,194841.02,196248.00,9.299,9.356,9.547,9.572,194841.02,193130.79,1.29,464253.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"59" ,9.605,9.655,9.704,687535.72,1424162.25,12.15,13.02,1.18,0.099,0.030,204200.00,241083.00,9.597,9.613,9.696,9.721,192682.46,191785.95,1.18,879770.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"60" ,9.704,9.729,9.820,87245.22,249805.89,2.13,1.65,0.21,0.116,0.052,241083.00,198794.00,9.696,9.721,9.754,9.829,191785.95,190740.14,2.71,278807.00,,,  ,71.1,,,,,,,,,,,
